Chapter,word order,abs word ord,English,Portuguese,ppd progress p34,Notes,abbreviations,,??
14,9,1409,absolute path,caminho absoluto,google,,,,c
10,4,1004,accumulator,acumulador,pp2,,,,a
7,8,708,algorithm,algoritmo,self,,,,a
10,13,1013,aliasing,apelidamento,pp2,,,,a
21,1,2101,analysis of algorithms,ana'lise de algoritmos,pp2,,,,a
3,8,308,argument,argumento,pp2,,,,a
16,7,1607,assert statement,instrucao assert,pp2,,,,i
2,2,202,assignment,atribuição,ppd 31,,,,a
15,5,1505,attribute,atributo,ppd 25,,,,a
10,5,1005,augmented assignment,atribuição combinada,pp2,,,,a
0,0,0,backslash,"barra invertida, contrabarra","ppd 22, wikipedia",,tpp,think python portugues,b
5,14,514,base case,caso base,pp2,,,,c
0,0,0,batteries included,baterias inclusas,ppd 69,,,,b
13,5,1305,benchmarking,teste de desempenho,pp2,,,,t
21,7,2107,Big-Oh notation,notacao assinto'tica,pp2,,,,n
0,0,0,bitwise,bit a bit,"ppd 127, wikipedia",,,,b
3,5,305,body,corpo,pp2,,,,c
5,3,503,boolean expression,expressao booleana,pp2,,,,e
0,0,0,braces,chaves,ppd 83,,,,c
5,9,509,branch,desvio,pp2,,,,d
1,20,120,bug,falha,wikipedia,,,,f
0,0,0,built-in,"builtin, integrado","ppd 31, linguee",,,,b
0,0,0,bytecode,bytecode,ppd 13,,ppd,"python para desenvolvedores, 2nd ed",b
14,12,1412,bytes object,objeto bytes,pp2,,,,o
11,15,1115,call graph,diagrama de chamadas,pp2,,,,d
14,10,1410,catch,capturar,pp2,,,,c
5,10,510,chained conditional,condicional encadeado,pp2,,,,c
18,7,1807,child class,classe derivada,"pp2, google devmedia",,,,c
15,1,1501,class,classe,ppd sum,,,,c
18,2,1802,class attribute,atributo de classe,pp2,,,,a
18,11,1811,class diagram,diagrama de classe,pp2,,,,d
15,2,1502,class object,objeto-classe,pp2,,,,o
0,0,0,clause,clausula,ppd 26,,,,c
0,0,0,coercion,coerção,ppd 16,,,,c
2,15,215,comment,comentário,ppd 22,,,,c
3,18,318,composition,composicao,pp2,,,,c
5,8,508,compound statement,instrucao composta,pp2,,,,i
2,14,214,concatenate,concatenar,ppd 35,,,,c
5,7,507,condition,condicao,pp2,,,,c
19,1,1901,conditional expression,expressao condicional,pp2,,,,e
5,6,506,conditional statement,instrucao condicional,pp2,,,,i
0,0,0,console window,janela de console,ppd 15,,,,j
0,0,0,control structure,estrutura de controle,ppd 23,,,,e
8,10,810,counter,contador,pp2,,,,c
21,5,2105,crossover point,ponto de cruzamento,pp2,,,,p
0,0,0,curly brackets,chaves,ppd 83,full list of symbols,,,c
18,13,1813,data encapsulation,encapsulamento de dados,pp2,,,,e
12,7,1207,data structure,estrutura de dados,ppd 25,,,,e
14,11,1411,database,banco de dados,ppd sum,,,,b
6,2,602,dead code,codigo morto,pp2,,,,c
1,21,121,debugging,depurar,wikipedia,,,,d
11,20,1120,declaration,declaracao,pp2,,,,d
7,5,705,decrement,decrementar,pp2,,,,d
15,8,1508,deep copy,co'pia profunda,pp2,,,,c
13,3,1303,default value,valor padrao,linguee,,,,v
10,14,1014,delimiter,delimitador,pp2,,,,d
18,10,1810,dependency,depende^ncia,pp2,,,,d
16,2,1602,designed development,desenvolvimento planejado,pp2,,,,d
13,1,1301,deterministic,determini'stico,pp2,,,,d
4,8,408,development plan,plano de desenvolvimento,pp2,,,,p
11,2,1102,dictionary,dicionário,ppd sumario,,,,d
14,6,1406,directory,direto'rio,pp2,,,,d
4,9,409,docstring,docstring,pp2,,,,d
3,17,317,dot notation,notacao de ponto,pp2,,,,n
